Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,CL MAR26,PAAPEX4570310000003,,Short,1,59.60,59.88,1/22/2026 9:48:44 AM,1/22/2026 11:02:53 AM,,,($283.34),($283.34),$3.34,$0.00,$0.00,$0.00,$0.00,$280.00,$280.00,$563.34,0,
2,MGC FEB26,PAAPEX4570310000003,,Short,2,4831.1,4841.3,1/22/2026 10:00:04 AM,1/22/2026 10:13:01 AM,,,($206.68),($490.02),$2.68,$0.00,$0.00,$0.00,$0.00,$204.00,$204.00,$410.68,0,
3,MNQ MAR26,PAAPEX4570310000003,,Short,2,25552.00,25599.50,1/22/2026 10:00:09 AM,1/22/2026 10:22:42 AM,,,($192.08),($682.10),$2.08,$0.00,$0.00,$0.00,$0.00,$190.00,$190.00,$382.08,0,
4,MGC FEB26,PAAPEX4570310000003,,Long,1,4851.2,4881.2,1/22/2026 10:26:21 AM,1/22/2026 11:19:03 AM,,,$298.66,($383.44),$1.34,$0.00,$0.00,$0.00,$0.00,$300.00,$300.00,$1.34,0,
5,MGC FEB26,PAAPEX4570310000003,,Long,1,4851.2,4881.2,1/22/2026 10:26:21 AM,1/22/2026 11:19:03 AM,,,$298.66,($84.78),$1.34,$0.00,$0.00,$0.00,$0.00,$300.00,$300.00,$1.34,0,
6,CL MAR26,PAAPEX4570310000003,,Short,1,59.60,59.06,1/22/2026 11:24:37 AM,1/22/2026 12:50:23 PM,,,$536.66,$451.88,$3.34,$0.00,$0.00,$0.00,$0.00,$540.00,$540.00,$3.34,0,
7,CL MAR26,PAAPEX4570310000003,,Long,1,61.21,60.93,1/23/2026 9:40:09 AM,1/23/2026 10:37:42 AM,,,($283.34),$168.54,$3.34,$0.00,$0.00,$0.00,$0.00,$280.00,$280.00,$563.34,0,
8,MGC FEB26,PAAPEX4570310000003,,Long,1,4958.7,4988.7,1/23/2026 10:41:43 AM,1/23/2026 11:31:17 AM,,,$298.66,$467.20,$1.34,$0.00,$0.00,$0.00,$0.00,$300.00,$300.00,$1.34,0,
9,MGC FEB26,PAAPEX4570310000003,,Long,1,4958.7,4988.7,1/23/2026 10:41:43 AM,1/23/2026 11:31:17 AM,,,$298.66,$765.86,$1.34,$0.00,$0.00,$0.00,$0.00,$300.00,$300.00,$1.34,0,
10,CL MAR26,PAAPEX4570310000003,,Long,1,61.22,61.20,1/23/2026 12:48:50 PM,1/23/2026 2:39:36 PM,,,($23.34),$742.52,$3.34,$0.00,$0.00,$0.00,$0.00,$20.00,$20.00,$43.34,0,
11,CL MAR26,PAAPEX4570310000006,,Long,1,61.22,60.94,1/23/2026 9:40:09 AM,1/23/2026 10:21:48 AM,,,($283.34),$459.18,$3.34,$0.00,$0.00,$0.00,$0.00,$280.00,$280.00,$563.34,0,
12,MGC FEB26,PAAPEX4570310000006,,Long,1,4958.7,4988.7,1/23/2026 10:41:43 AM,1/23/2026 11:31:17 AM,,,$298.66,$757.84,$1.34,$0.00,$0.00,$0.00,$0.00,$300.00,$300.00,$1.34,0,
13,MGC FEB26,PAAPEX4570310000006,,Long,1,4958.7,4988.7,1/23/2026 10:41:43 AM,1/23/2026 11:31:17 AM,,,$298.66,$1056.50,$1.34,$0.00,$0.00,$0.00,$0.00,$300.00,$300.00,$1.34,0,
14,CL MAR26,PAAPEX4570310000006,,Long,1,61.22,61.20,1/23/2026 12:48:50 PM,1/23/2026 2:39:36 PM,,,($23.34),$1033.16,$3.34,$0.00,$0.00,$0.00,$0.00,$20.00,$20.00,$43.34,0,
15,CL MAR26,PAAPEX4570310000002,,Short,1,59.60,59.88,1/22/2026 9:48:44 AM,1/22/2026 11:02:53 AM,,,($283.34),$749.82,$3.34,$0.00,$0.00,$0.00,$0.00,$280.00,$280.00,$563.34,0,
16,MGC FEB26,PAAPEX4570310000002,,Short,2,4831.1,4841.3,1/22/2026 10:00:04 AM,1/22/2026 10:13:01 AM,,,($206.68),$543.14,$2.68,$0.00,$0.00,$0.00,$0.00,$204.00,$204.00,$410.68,0,
17,MNQ MAR26,PAAPEX4570310000002,,Short,2,25552.00,25599.50,1/22/2026 10:00:09 AM,1/22/2026 10:22:42 AM,,,($192.08),$351.06,$2.08,$0.00,$0.00,$0.00,$0.00,$190.00,$190.00,$382.08,0,
18,MGC FEB26,PAAPEX4570310000002,,Long,1,4851.2,4881.2,1/22/2026 10:26:21 AM,1/22/2026 11:19:03 AM,,,$298.66,$649.72,$1.34,$0.00,$0.00,$0.00,$0.00,$300.00,$300.00,$1.34,0,
19,MGC FEB26,PAAPEX4570310000002,,Long,1,4851.2,4881.2,1/22/2026 10:26:21 AM,1/22/2026 11:19:03 AM,,,$298.66,$948.38,$1.34,$0.00,$0.00,$0.00,$0.00,$300.00,$300.00,$1.34,0,
20,CL MAR26,PAAPEX4570310000002,,Short,1,59.60,59.06,1/22/2026 11:24:37 AM,1/22/2026 12:50:23 PM,,,$536.66,$1485.04,$3.34,$0.00,$0.00,$0.00,$0.00,$540.00,$540.00,$3.34,0,
21,CL MAR26,PAAPEX4570310000002,,Long,1,61.21,60.93,1/23/2026 9:40:09 AM,1/23/2026 10:37:42 AM,,,($283.34),$1201.70,$3.34,$0.00,$0.00,$0.00,$0.00,$280.00,$280.00,$563.34,0,
22,MGC FEB26,PAAPEX4570310000002,,Long,1,4958.7,4988.7,1/23/2026 10:41:43 AM,1/23/2026 11:31:17 AM,,,$298.66,$1500.36,$1.34,$0.00,$0.00,$0.00,$0.00,$300.00,$300.00,$1.34,0,
23,MGC FEB26,PAAPEX4570310000002,,Long,1,4958.7,4988.7,1/23/2026 10:41:43 AM,1/23/2026 11:31:17 AM,,,$298.66,$1799.02,$1.34,$0.00,$0.00,$0.00,$0.00,$300.00,$300.00,$1.34,0,
24,CL MAR26,PAAPEX4570310000002,,Long,1,61.22,61.21,1/23/2026 12:48:50 PM,1/23/2026 2:39:36 PM,,,($13.34),$1785.68,$3.34,$0.00,$0.00,$0.00,$0.00,$10.00,$10.00,$23.34,0,
25,CL MAR26,PAAPEX4570310000001,,Short,1,59.60,59.88,1/22/2026 9:48:44 AM,1/22/2026 11:02:53 AM,,,($283.34),$1502.34,$3.34,$0.00,$0.00,$0.00,$0.00,$280.00,$280.00,$563.34,0,
26,MGC FEB26,PAAPEX4570310000001,,Short,2,4831.1,4841.3,1/22/2026 10:00:04 AM,1/22/2026 10:13:01 AM,,,($206.68),$1295.66,$2.68,$0.00,$0.00,$0.00,$0.00,$204.00,$204.00,$410.68,0,
27,MNQ MAR26,PAAPEX4570310000001,,Short,2,25550.50,25598.50,1/22/2026 10:00:09 AM,1/22/2026 10:22:39 AM,,,($194.08),$1101.58,$2.08,$0.00,$0.00,$0.00,$0.00,$192.00,$192.00,$386.08,0,
28,MGC FEB26,PAAPEX4570310000001,,Long,1,4851.2,4881.2,1/22/2026 10:26:21 AM,1/22/2026 11:19:03 AM,,,$298.66,$1400.24,$1.34,$0.00,$0.00,$0.00,$0.00,$300.00,$300.00,$1.34,0,
29,MGC FEB26,PAAPEX4570310000001,,Long,1,4851.2,4881.2,1/22/2026 10:26:21 AM,1/22/2026 11:19:03 AM,,,$298.66,$1698.90,$1.34,$0.00,$0.00,$0.00,$0.00,$300.00,$300.00,$1.34,0,
30,CL MAR26,PAAPEX4570310000001,,Short,1,59.60,59.06,1/22/2026 11:24:37 AM,1/22/2026 12:50:23 PM,,,$536.66,$2235.56,$3.34,$0.00,$0.00,$0.00,$0.00,$540.00,$540.00,$3.34,0,
31,CL MAR26,PAAPEX4570310000001,,Long,1,61.21,60.93,1/23/2026 9:40:09 AM,1/23/2026 10:37:42 AM,,,($283.34),$1952.22,$3.34,$0.00,$0.00,$0.00,$0.00,$280.00,$280.00,$563.34,0,
32,MGC FEB26,PAAPEX4570310000001,,Long,1,4958.7,4988.7,1/23/2026 10:41:43 AM,1/23/2026 11:31:17 AM,,,$298.66,$2250.88,$1.34,$0.00,$0.00,$0.00,$0.00,$300.00,$300.00,$1.34,0,
33,MGC FEB26,PAAPEX4570310000001,,Long,1,4958.7,4988.7,1/23/2026 10:41:43 AM,1/23/2026 11:31:17 AM,,,$298.66,$2549.54,$1.34,$0.00,$0.00,$0.00,$0.00,$300.00,$300.00,$1.34,0,
34,CL MAR26,PAAPEX4570310000001,,Long,1,61.22,61.21,1/23/2026 12:48:50 PM,1/23/2026 2:39:36 PM,,,($13.34),$2536.20,$3.34,$0.00,$0.00,$0.00,$0.00,$10.00,$10.00,$23.34,0,
35,CL MAR26,PAAPEX4570310000005,,Long,1,61.22,60.94,1/23/2026 9:40:09 AM,1/23/2026 10:21:48 AM,,,($283.34),$2252.86,$3.34,$0.00,$0.00,$0.00,$0.00,$280.00,$280.00,$563.34,0,
36,MGC FEB26,PAAPEX4570310000005,,Long,1,4958.7,4988.7,1/23/2026 10:41:43 AM,1/23/2026 11:31:17 AM,,,$298.66,$2551.52,$1.34,$0.00,$0.00,$0.00,$0.00,$300.00,$300.00,$1.34,0,
37,MGC FEB26,PAAPEX4570310000005,,Long,1,4958.7,4988.7,1/23/2026 10:41:43 AM,1/23/2026 11:31:17 AM,,,$298.66,$2850.18,$1.34,$0.00,$0.00,$0.00,$0.00,$300.00,$300.00,$1.34,0,
38,CL MAR26,PAAPEX4570310000005,,Long,1,61.22,61.21,1/23/2026 12:48:50 PM,1/23/2026 2:39:36 PM,,,($13.34),$2836.84,$3.34,$0.00,$0.00,$0.00,$0.00,$10.00,$10.00,$23.34,0,
